Nested Sampling Global Log-Evidence           :    0.645828750642451196E+05  +/-    0.455385232354942604E+00
Nested Importance Sampling Global Log-Evidence:    0.645825048019732058E+05  +/-    0.484808982399962327E-01

Dim No.       Mean        Sigma
   1    0.560408238869568365E+00    0.272197973088508904E+00
   2    0.541567741071133479E+00    0.353732670591898835E+00
   3   -0.111210398348167256E+02    0.374426408149618820E-01
   4    0.166735852072935908E+01    0.144497042510516677E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.660385970664659316E+00
   2    0.877252587389448002E+00
   3   -0.111191082087871536E+02
   4    0.169095606864803694E+01

MAP Parameters
Dim No.        Parameter
   1    0.660385970664659316E+00
   2    0.877252587389448002E+00
   3   -0.111191082087871536E+02
   4    0.169095606864803694E+01
